molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL293684,Cn1nc(S(N)(=O)=O)s/c1=N\C(=O)C(F)(F)F,20,active,290.248,-0.8814,1,6,20,7.698970004
CHEMBL423848,NS(=O)(=O)c1nn2c(=O)n(CCCl)c(=O)nc2s1,18,active,311.732,-1.8011,1,9,18,7.744727495
CHEMBL65455,NS(=O)(=O)C1=NN2CCS(=O)(=O)N=C2S1,14,inactive,270.317,-1.7059,1,7,14,7.853871964
CHEMBL560175,COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,27900,active,280.32,2.5781,3,4,27900,4.554395797
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,357,inactive,222.251,-0.8561,2,6,357,6.447331784
CHEMBL3613781,COc1ccc2c(c1)CCCN2C(=O)c1ccc(S(N)(=O)=O)cc1,50000,active,346.408,1.9356,1,4,50000,4.301029996
CHEMBL302779,COc1ccc(S(=O)(=O)N[C@@H](CCCNC(=O)N[C@H](C)c2cccc3ccccc23)C(=O)NO)cc1,1600,active,514.604,2.8413,5,6,1600,5.795880017
CHEMBL291796,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCNC(=O)NCc2ccccc2)C(=O)NO)cc1,58,active,584.651,2.7684,4,8,58,7.236572006
CHEMBL294344,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)N[C@H](C)c2ccccc2)C(=O)NO)cc1,110,active,464.544,1.6881,5,6,110,6.958607315
CHEMBL62614,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)N[C@H](C)c2cccc3ccccc23)C(=O)NO)cc1,160,active,514.604,2.8413,5,6,160,6.795880017
CHEMBL304575,COc1ccc(S(=O)(=O)N[C@@H](CCCNC(=O)Nc2cccc(F)c2)C(=O)NO)cc1,4000,active,454.48,1.5885,5,6,4000,5.397940009
CHEMBL303373,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCNC(=O)OCc2cccc([N+](=O)[O-])c2)C(=O)NO)cc1,38,active,630.632,3.1036,3,11,38,7.420216403
CHEMBL63252,COc1ccc(S(=O)(=O)N[C@@H](CCCNC(=O)N[C@H](C)c2ccccc2)C(=O)NO)cc1,2100,active,464.544,1.6881,5,6,2100,5.677780705
CHEMBL291863,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)C2CC2)C(=O)NO)cc1,770,active,385.442,0.1539,4,6,770,6.113509275
CHEMBL293848,COc1ccc(S(=O)(=O)N[C@@H](CCCNC(=O)NCCc2cccs2)C(=O)NO)cc1,5500,active,470.573,1.2311,5,7,5500,5.259637311
CHEMBL66263,COC(=O)[C@@H](Cc1ccccc1)NC(=O)NCCC[C@H](NS(=O)(=O)c1ccc(OC)cc1)C(=O)NO,5900,active,522.58,0.7112,5,8,5900,5.229147988
CHEMBL65382,COc1ccc(S(=O)(=O)N[C@H](CCC/N=C(\S)NC2CCCCC2)C(=O)NO)cc1,1700,active,458.606,1.8358,5,6,1700,5.769551079
CHEMBL305227,CCCNC(=O)NCCC[C@H](C(=O)NO)N(Cc1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(OC)cc1,97,active,536.607,1.9782,4,8,97,7.013228266
CHEMBL65566,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)C(C)C)C(=O)NO)cc1,1400,active,387.458,0.3999,4,6,1400,5.853871964
CHEMBL63287,C[C@@H](NC(=O)NCCC[C@@H](NS(=O)(=O)c1ccc(Cl)s1)C(=O)NO)c1ccccc1,9600,active,474.992,2.3944,5,6,9600,5.017728767
CHEMBL65207,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)Nc2ccccc2Cl)C(=O)NO)cc1,92,inactive,470.935,2.1028,5,6,92,7.036212173
CHEMBL418674,COc1cc(C)c(S(=O)(=O)N[C@H](CCCNC(=O)N[C@H](C)c2ccccc2)C(=O)NO)c(C)c1,23000,active,492.598,2.30494,5,6,23000,4.638272164
CHEMBL21073,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCNC(=O)OCc2ccccc2Br)C(=O)NO)cc1,24,active,664.531,3.9579,3,9,24,7.619788758
CHEMBL293010,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)N[C@@H]2C[C@H]2c2ccccc2)C(=O)NO)cc1,170,active,476.555,1.483,5,6,170,6.769551079
CHEMBL63368,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)CCc2ccccc2)C(=O)NO)cc1,970,inactive,449.529,1.3767,4,6,970,6.013228266
CHEMBL292267,C[C@@H](NC(=O)NCCC[C@@H](NS(=O)(=O)c1ccc(F)cc1Cl)C(=O)NO)c1ccccc1,61000,active,486.953,2.472,5,5,61000,4.214670165
CHEMBL63344,COc1ccc(S(=O)(=O)N[C@H](CCCNS(=O)(=O)c2ccccc2)C(=O)NO)cc1,3400,active,457.53,0.6062,4,7,3400,5.468521083
CHEMBL417030,C[C@@H](NC(=O)NCCC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C(=O)NO)c1ccccc1,910,active,468.963,2.3329,5,5,910,6.040958608
CHEMBL65077,COc1ccc(S(=O)(=O)N[C@H](CCC/N=C(\S)NCc2ccccc2)C(=O)NO)cc1,990,active,466.585,1.7033,5,6,990,6.004364805
CHEMBL63685,COc1ccc(S(=O)(=O)N[C@@H](CCCNC(=O)NC2CC2c2ccccc2)C(=O)NO)cc1,290,active,476.555,1.483,5,6,290,6.537602002
CHEMBL430941,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)NCCc2cccs2)C(=O)NO)cc1,78,active,470.573,1.2311,5,7,78,7.107905397
CHEMBL294783,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](CCCNC(=O)NCc2cccc3ccccc23)C(=O)NO)cc1,120,active,634.711,3.9216,4,8,120,6.920818754
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,3000,active,393.465,1.8111,2,6,3000,5.522878745
CHEMBL418011,COc1ccc(S(=O)(=O)N(CCn2cccc2)[C@H](Cc2cccs2)C(=O)NO)cc1,610,active,449.554,2.3658,2,7,610,6.214670165
CHEMBL21113,COc1ccc(S(=O)(=O)N(Cc2ccc(Cl)cc2Cl)[C@H](Cc2cccs2)C(=O)NO)cc1,860,active,515.44,4.3711,2,6,860,6.065501549
CHEMBL277910,CCN(CC)C(=N)NCCC[C@H](C(=O)O)N(Cc1ccc2c(c1)OCO2)S(=O)(=O)c1ccc(OC)cc1,28,active,534.635,2.71437,3,7,28,7.552841969
CHEMBL276952,COc1ccc(S(=O)(=O)N(Cc2cccc(I)c2)[C@H](C)C(=O)O)cc1,280,active,475.304,2.9638,1,4,280,6.552841969
CHEMBL279695,COc1ccc(S(=O)(=O)N(Cc2ccc(Br)cc2F)[C@H](C)C(=O)O)cc1,490,active,446.294,3.2608,1,4,490,6.30980392
CHEMBL280171,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@H](Cc2ccco2)C(=O)O)cc1,470,active,459.476,2.9037,1,7,470,6.327902142
CHEMBL21387,COc1ccc(S(=O)(=O)N(Cc2ccc(F)c(F)c2)[C@H](C)C(=O)NO)cc1,76,active,400.403,2.0582,2,5,76,7.119186408
CHEMBL20787,COc1ccc(S(=O)(=O)N(Cc2ccccc2C(F)(F)F)[C@H](C)C(=O)NO)cc1,6,active,432.42,2.7988,2,5,6,8.22184875
CHEMBL283114,COc1ccc(S(=O)(=O)N(Cc2ccc(Br)cc2)[C@H](C)C(=O)NO)cc1,37,active,443.319,2.5425,2,5,37,7.431798276
CHEMBL20406,COc1ccc(S(=O)(=O)N(Cc2ccc(F)c(F)c2)[C@H](Cc2cccs2)C(=O)NO)cc1,80,active,482.53,3.3425,2,6,80,7.096910013
CHEMBL21249,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)[C@@H](C(=O)NO)C(=O)C(N)CNC(=O)OCC2c3ccccc3-c3ccccc32)cc1,0.024,active,702.742,2.9239,4,11,0.024,10.61978876
